功能码/function,ID(DEC),ID(HEX),name,bytes,vlaue type,gain/unit,Description,Read out,mean
,42011,A41B,charge to SOC,2,u16,1%,"Force charge and discharge to the target SOC, and turn off the SOC when finished.[10,100%].
(Enabling this mode turns off the forced charge and discharge mode)",500(DEC),0.5
,42020,A424,forcible charge power,2,u16,W,"range:[0, 2.5kW]  ",2000(DEC),2000W
,42021,A425,forcible discharge power,2,u16,W,"range:[0, 2.5kW]  ",2000(DEC),2000W
,43000,A7F8,user work mode,2,u16,W,0:manual  1:anti-feed  2:eco mode(AI mode),,
,43100,A85C,discharge time1 week,2,bit,/,"bit1: Monday  bit2:Tuesday  bit3: Wednesday
bit4: Thursday bit5:Friday  bit6: Saturday  bit7:Sunday",3(HEX),work at Monday and Tuesday
,43101,A85D,discharge time1 start,2,u16,hour:min,"range:[0,2359]",800(DEC),start at 8:00
,43102,A85E,discharge time1 end,2,u16,hour:min,"range:[0,2359]
the end time must be longer than the start time",1730(DEC),end at 17:30
,43103,A85F,discharge time1 power,2,s16,W,"range[-2500,2500] postive means discharge",2000(DEC),2000W
,43104,A860,discharge time1 enable,2,u16,/,0: disable  1:enable,,
,43105,A861,discharge time2 week,2,bit,/,same as time1,,
,43106,A862,discharge time2 start,2,u16,/,same as time1,,
,43107,A863,discharge time2 end,2,u16,/,same as time1,,
,43108,A864,discharge time2 power,2,s16,/,same as time1,,
,43109,A865,discharge time2 enable,2,u16,/,same as time1,,
,43110,A866,discharge time3 week,2,bit,/,same as time1,,
,43111,A867,discharge time3 start,2,u16,/,same as time1,,
,43112,A868,discharge time3 end,2,u16,/,same as time1,,
,43113,A869,discharge time3 power,2,s16,/,same as time1,,
,43114,A86A,discharge time3 enable,2,u16,/,same as time1,,
,43115,A86B,discharge time4 week,2,bit,/,same as time1,,
,43116,A86C,discharge time4 start,2,u16,/,same as time1,,
,43117,A86D,discharge time4 end,2,u16,/,same as time1,,
,43118,A86E,discharge time4 power,2,s16,/,same as time1,,
,43119,A86F,discharge time4 enable,2,u16,/,same as time1,,
,43120,A870,discharge time5 week,2,bit,/,same as time1,,
,43121,A871,discharge time5 start,2,u16,/,same as time1,,
,43122,A872,discharge time5 end,2,u16,/,same as time1,,
,43123,A873,discharge time5 power,2,s16,/,same as time1,,
,43124,A874,discharge time5 enable,2,u16,/,same as time1,,
,43125,A875,discharge time6 week,2,bit,/,same as time1,,
,43126,A876,discharge time6 start,2,u16,/,same as time1,,
,43127,A877,discharge time6 end,2,u16,/,same as time1,,
,43128,A878,discharge time6 power,2,s16,/,same as time1,,
,43129,A879,discharge time6 enable,2,u16,/,same as time1,,
,44001,ABE1,discharging cutoff capacity,2,u16,0.1%,"range:[12,30%]",150(DEC),15.0%
,44002,ABE2,max charge power,2,u16,W,"range:[0,2.5kW]  ",800(DEC),800W
,44003,ABE3,max discharge power,2,u16,W,"range:[0,2.5kW]  ",2000(DEC),2000W
